scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
National Healthcare Kalyan Program,"The National Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,All India,Healthcare
Digital India Energy Development Initiative,"The Digital India Energy Development Initiative is designed to promote energy development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 29 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Gujarat,Energy
Digital India Education Yojana,"The Digital India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 26 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Telangana,Education
Integrated Employment Mission,"The Integrated Employment Mission is designed to promote employment development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 27 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,All India,Employment
Integrated Employment Abhiyan,"The Integrated Employment Abhiyan is designed to promote employment development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 19 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Labour and Employment,Uttar Pradesh,Employment
Integrated Housing Development Initiative,"The Integrated Housing Development Initiative is designed to promote housing development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 26 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Housing and Urban Affairs,Rajasthan,Housing
National Employment Samriddhi Scheme,"The National Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 28 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Labour and Employment,Telangana,Employment
Integrated Women Welfare Development Initiative,"The Integrated Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 24 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,Telangana,Women Welfare
Chief Minister Housing Kalyan Program,"The Chief Minister Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 30 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,West Bengal,Housing
Digital India Employment Yojana,"The Digital India Employment Yojana is designed to promote employment development by providing targeted support to self help groups in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 20 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,Maharashtra,Employment
Chief Minister Education Development Initiative,"The Chief Minister Education Development Initiative is designed to promote education development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Education,All India,Education
National Employment Development Initiative,"The National Employment Development Initiative is designed to promote employment development by providing targeted support to women entrepreneurs in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 19 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Labour and Employment,Uttar Pradesh,Employment
Integrated Women Welfare Samriddhi Scheme,"The Integrated Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 30 and 49 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare
National Social Welfare Kalyan Program,"The National Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to senior citizens in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 27 and 40 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,Karnataka,Social Welfare
Integrated Healthcare Mission,"The Integrated Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 28 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Kerala,Healthcare
Smart India Education Yojana,"The Smart India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 21 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Madhya Pradesh,Education
