scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector,rag_text
National Healthcare Kalyan Program,"The National Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,All India,Healthcare,"
Scheme Name: National Healthcare Kalyan Program

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: All India

Description:
The National Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be women entrepreneurs aged between 18 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Energy Development Initiative,"The Digital India Energy Development Initiative is designed to promote energy development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 29 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Gujarat,Energy,"
Scheme Name: Digital India Energy Development Initiative

Sector: Energy
Ministry: Ministry of Power
State: Gujarat

Description:
The Digital India Energy Development Initiative is designed to promote energy development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be small business owners aged between 29 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Education Yojana,"The Digital India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 26 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Telangana,Education,"
Scheme Name: Digital India Education Yojana

Sector: Education
Ministry: Ministry of Education
State: Telangana

Description:
The Digital India Education Yojana is designed to promote education development by providing targeted support to senior citizens in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be senior citizens aged between 26 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Employment Mission,"The Integrated Employment Mission is designed to promote employment development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 27 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,All India,Employment,"
Scheme Name: Integrated Employment Mission

Sector: Employment
Ministry: Ministry of Labour and Employment
State: All India

Description:
The Integrated Employment Mission is designed to promote employment development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be self help groups aged between 27 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Employment Abhiyan,"The Integrated Employment Abhiyan is designed to promote employment development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 19 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Labour and Employment,Uttar Pradesh,Employment,"
Scheme Name: Integrated Employment Abhiyan

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Uttar Pradesh

Description:
The Integrated Employment Abhiyan is designed to promote employment development by providing targeted support to students in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be students aged between 19 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Housing Development Initiative,"The Integrated Housing Development Initiative is designed to promote housing development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 26 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Housing and Urban Affairs,Rajasthan,Housing,"
Scheme Name: Integrated Housing Development Initiative

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Rajasthan

Description:
The Integrated Housing Development Initiative is designed to promote housing development by providing targeted support to farmers in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be farmers aged between 26 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Employment Samriddhi Scheme,"The National Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 28 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Labour and Employment,Telangana,Employment,"
Scheme Name: National Employment Samriddhi Scheme

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Telangana

Description:
The National Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be women entrepreneurs aged between 28 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Women Welfare Development Initiative,"The Integrated Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 24 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,Telangana,Women Welfare,"
Scheme Name: Integrated Women Welfare Development Initiative

Sector: Women Welfare
Ministry: Ministry of Women and Child Development
State: Telangana

Description:
The Integrated Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be urban poor families aged between 24 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Housing Kalyan Program,"The Chief Minister Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 30 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,West Bengal,Housing,"
Scheme Name: Chief Minister Housing Kalyan Program

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: West Bengal

Description:
The Chief Minister Housing Kalyan Program is designed to promote housing development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be youth aged between 30 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Employment Yojana,"The Digital India Employment Yojana is designed to promote employment development by providing targeted support to self help groups in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 20 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,Maharashtra,Employment,"
Scheme Name: Digital India Employment Yojana

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Maharashtra

Description:
The Digital India Employment Yojana is designed to promote employment development by providing targeted support to self help groups in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be self help groups aged between 20 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
