scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Rural Development Energy Samriddhi Scheme,"The Rural Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 27 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Karnataka,Energy
Urban Development Housing Development Initiative,"The Urban Development Housing Development Initiative is designed to promote housing development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 19 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,West Bengal,Housing
Pradhan Mantri Education Development Initiative,"The Pradhan Mantri Education Development Initiative is designed to promote education development by providing targeted support to urban poor families in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 21 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Education,Karnataka,Education
Chief Minister Energy Yojana,"The Chief Minister Energy Yojana is designed to promote energy development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 30 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Power,Telangana,Energy
Pradhan Mantri Startup Mission,"The Pradhan Mantri Startup Mission is designed to promote startup development by providing targeted support to rural households in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 30 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Digital India Education Abhiyan,"The Digital India Education Abhiyan is designed to promote education development by providing targeted support to students in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 22 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Andhra Pradesh,Education
Rural Development Skill Development Samriddhi Scheme,"The Rural Development Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 18 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development
Rural Development Women Welfare Yojana,"The Rural Development Women Welfare Yojana is designed to promote women welfare development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be students aged between 29 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Telangana,Women Welfare
National Education Mission,"The National Education Mission is designed to promote education development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 28 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Uttar Pradesh,Education
Integrated Women Welfare Abhiyan,"The Integrated Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 29 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Pradhan Mantri Startup Samriddhi Scheme,"The Pradhan Mantri Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to senior citizens in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 30 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Commerce and Industry,Rajasthan,Startup
National Education Development Initiative,"The National Education Development Initiative is designed to promote education development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 24 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Education,All India,Education
Digital India Energy Yojana,"The Digital India Energy Yojana is designed to promote energy development by providing targeted support to startup founders in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 29 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Power,Uttar Pradesh,Energy
